subject_ID,p_duration,p_country,p_languages,p_age,p_gender,p_race,p_parent,p_inj_experienced,condition,rating,injury,character,race,age,gender,,,,,,,,,
1a,452,Spain,French,20,female,hispanic_latino,no,"stomach ache,skinned knees,broken arm,burned tongue,splinter,bruised leg,bee sting",1,4,soup,rachel,w,a,f,,,,,,,,,
1a,452,Spain,French,20,female,hispanic_latino,no,"stomach ache,skinned knees,broken arm,burned tongue,splinter,bruised leg,bee sting",1,7,broken arm,sydney,w,c,f,,,,,,,,,
1a,452,Spain,French,20,female,hispanic_latino,no,"stomach ache,skinned knees,broken arm,burned tongue,splinter,bruised leg,bee sting",1,2,stomach ache,david,w,a,m,,,,,,,,,
1a,452,Spain,French,20,female,hispanic_latino,no,"stomach ache,skinned knees,broken arm,burned tongue,splinter,bruised leg,bee sting",1,2,paper cut,kyle,w,c,m,,,,,,,,,
1a,452,Spain,French,20,female,hispanic_latino,no,"stomach ache,skinned knees,broken arm,burned tongue,splinter,bruised leg,bee sting",1,4,skinned knees,marissa,b,a,f,,,,,,,,,
1a,452,Spain,French,20,female,hispanic_latino,no,"stomach ache,skinned knees,broken arm,burned tongue,splinter,bruised leg,bee sting",1,3,bruised leg,jessica,b,c,f,,,,,,,,,
1a,452,Spain,French,20,female,hispanic_latino,no,"stomach ache,skinned knees,broken arm,burned tongue,splinter,bruised leg,bee sting",1,5,splinter,chris,b,a,m,,,,,,,,,
1a,452,Spain,French,20,female,hispanic_latino,no,"stomach ache,skinned knees,broken arm,burned tongue,splinter,bruised leg,bee sting",1,3,bee sting,tyler,b,c,m,,,,,,,,,
1a,452,Spain,French,20,female,hispanic_latino,no,"stomach ache,skinned knees,broken arm,burned tongue,splinter,bruised leg,bee sting",1,4,soup,dominic,b,c,m,,,,,,,,,
1a,452,Spain,French,20,female,hispanic_latino,no,"stomach ache,skinned knees,broken arm,burned tongue,splinter,bruised leg,bee sting",1,6,broken arm,jacob,b,a,m,,,,,,,,,
1a,452,Spain,French,20,female,hispanic_latino,no,"stomach ache,skinned knees,broken arm,burned tongue,splinter,bruised leg,bee sting",1,2,stomach ache,kendall,b,c,f,,,,,,,,,
1a,452,Spain,French,20,female,hispanic_latino,no,"stomach ache,skinned knees,broken arm,burned tongue,splinter,bruised leg,bee sting",1,1,paper cut,sarah,b,a,f,,,,,,,,,
1a,452,Spain,French,20,female,hispanic_latino,no,"stomach ache,skinned knees,broken arm,burned tongue,splinter,bruised leg,bee sting",1,5,skinned knees,wyatt,w,c,m,,,,,,,,,
1a,452,Spain,French,20,female,hispanic_latino,no,"stomach ache,skinned knees,broken arm,burned tongue,splinter,bruised leg,bee sting",1,1,bruised leg,robert,w,a,m,,,,,,,,,
1a,452,Spain,French,20,female,hispanic_latino,no,"stomach ache,skinned knees,broken arm,burned tongue,splinter,bruised leg,bee sting",1,7,splinter,tara,w,c,f,,,,,,,,,
1a,452,Spain,French,20,female,hispanic_latino,no,"stomach ache,skinned knees,broken arm,burned tongue,splinter,bruised leg,bee sting",1,2,bee sting,charlotte,w,a,f,,,,,,,,,
2a,397,Czech Republic ,"Bosnian, Croatian, Spanish and Czech",35,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,0,soup,rachel,w,a,f,,,,,,,,,
2a,397,Czech Republic ,"Bosnian, Croatian, Spanish and Czech",35,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,5,broken arm,sydney,w,c,f,,,,,,,,,
2a,397,Czech Republic ,"Bosnian, Croatian, Spanish and Czech",35,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,2,stomach ache,david,w,a,m,,,,,,,,,
2a,397,Czech Republic ,"Bosnian, Croatian, Spanish and Czech",35,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,2,paper cut,kyle,w,c,m,,,,,,,,,
2a,397,Czech Republic ,"Bosnian, Croatian, Spanish and Czech",35,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,3,skinned knees,marissa,b,a,f,,,,,,,,,
2a,397,Czech Republic ,"Bosnian, Croatian, Spanish and Czech",35,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,3,bruised leg,jessica,b,c,f,,,,,,,,,
2a,397,Czech Republic ,"Bosnian, Croatian, Spanish and Czech",35,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,1,splinter,chris,b,a,m,,,,,,,,,
2a,397,Czech Republic ,"Bosnian, Croatian, Spanish and Czech",35,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,2,bee sting,tyler,b,c,m,,,,,,,,,
2a,397,Czech Republic ,"Bosnian, Croatian, Spanish and Czech",35,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,1,soup,dominic,b,c,m,,,,,,,,,
2a,397,Czech Republic ,"Bosnian, Croatian, Spanish and Czech",35,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,4,broken arm,jacob,b,a,m,,,,,,,,,
2a,397,Czech Republic ,"Bosnian, Croatian, Spanish and Czech",35,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,2,stomach ache,kendall,b,c,f,,,,,,,,,
2a,397,Czech Republic ,"Bosnian, Croatian, Spanish and Czech",35,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,2,paper cut,sarah,b,a,f,,,,,,,,,
2a,397,Czech Republic ,"Bosnian, Croatian, Spanish and Czech",35,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,4,skinned knees,wyatt,w,c,m,,,,,,,,,
2a,397,Czech Republic ,"Bosnian, Croatian, Spanish and Czech",35,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,3,bruised leg,robert,w,a,m,,,,,,,,,
2a,397,Czech Republic ,"Bosnian, Croatian, Spanish and Czech",35,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,2,splinter,tara,w,c,f,,,,,,,,,
2a,397,Czech Republic ,"Bosnian, Croatian, Spanish and Czech",35,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,2,bee sting,charlotte,w,a,f,,,,,,,,,
3a,391,Hungary,hungarian,36,male,white,no,"stomach ache,skinned knees,paper cut,broken arm,burned tongue,splinter,bruised leg,bee sting",1,1,soup,rachel,w,a,f,,,,,,,,,
3a,392,Hungary,hungarian,36,male,white,no,"stomach ache,skinned knees,paper cut,broken arm,burned tongue,splinter,bruised leg,bee sting",1,6,broken arm,sydney,w,c,f,,,,,,,,,
3a,393,Hungary,hungarian,36,male,white,no,"stomach ache,skinned knees,paper cut,broken arm,burned tongue,splinter,bruised leg,bee sting",1,2,stomach ache,david,w,a,m,,,,,,,,,
3a,394,Hungary,hungarian,36,male,white,no,"stomach ache,skinned knees,paper cut,broken arm,burned tongue,splinter,bruised leg,bee sting",1,2,paper cut,kyle,w,c,m,,,,,,,,,
3a,395,Hungary,hungarian,36,male,white,no,"stomach ache,skinned knees,paper cut,broken arm,burned tongue,splinter,bruised leg,bee sting",1,1,skinned knees,marissa,b,a,f,,,,,,,,,
