StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q.d1,Q.condition,Q.participant#,Q.sex,Q385,Q386,Q0p,Q0.5p_1,q0p1.5,q0p1.5_1,Q00p,Q00.5p_1,Q1,Q1.5_1,Q2,Q2.5_1,Q3,Q3.5_1,Q4,Q4.5_1,Q5,Q5.5_1,Q6,Q6.5_1,Q7,Q7.5_1,Q8,Q8.5_1,Qc1,Qc1.5_1,Qc2,Qc2.5_1,Qc3,Qc3.5_1,Qc4,Qc4.5_1,Q9,Q9.5_1,Q10,Q10.5_1,Q11,Q11.5_1,Q12,Q12.5_1,Q13,Q13.5_1,Q14,Q14.5_1,Q15,Q15.5_1,Q16,Q16.5_1,Q17,Q17.5_1,Q18,Q18.5_1,Q19,Q19.5_1,Q20,Q20.5_1,Q21,Q21.5_1,Q22,Q22.5_1,Q23,Q23.5_1,Q24,Q24.5_1,Q25,Q25.5_1,Q26,Q26.5_1,Q27,Q27.5_1,Q28,Q28.5_1,Q29,Q29.5_1,Q30,Q30.5_1,Q31,Q31.5_1,Q32,Q32.5_1,Q33,Q33.5_1,Q34,Q34.5_1,Q35,Q35.5_1,Q36,Q36.5_1,Q37,Q37.5_1,Q38,Q38.5_1,Q39,Q39.5_1,Q40,Q40.5_1,Q41,Q41.5_1,Q42,Q42.5_1,Q43,Q43.5_1,Q44,Q44.5_1,Q45,Q45.5_1,Q46,Q46.5_1,Q47,Q47.5_1,Q48,Q48.5_1,Q49,Q49.5_1,Q50,Q50.5_1,Q51,Q51.5_1,Q52,Q52.5_1,Q53,Q53.5_1,Q54,Q54.5_1,Q55,Q55.5_1,Q56,Q56.5_1,Q57,Q57.5_1,Q58,Q58.5_1,Q59,Q59.5_1,Q60,Q60.5_1,Q61,Q61.5_1,Q62,Q62.5_1,Q63,Q63.5_1,Q64,Q64.5_1,Q383,Q383_2_TEXT,Q383_3_TEXT,Q381,1,2,3,4,5,6,7,8,mturkcode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Did you fill out the consent and demographics forms?,select condition,enter participant number,participant sex,participant race,participant ethnicity,"""Hi, my name is Caleb! I was playing soccer, and when I turned I sprained my ankle. 

 

 Do you think that hurt me?""","""How much do you think it hurt me?""","""Hi, my name is Jordan! I was walking down the street and a car passed by. 

 

 Do you think that hurt me?""","""How much do you think it hurt me?""","""Hi, my name is Taylor! I was hammering a nail into the wall, and I accidentally hit my thumb with the hammer. 

 

 Do you think that hurt me?""","""How much do you think it hurt me?""

​​​​​​​","""Hi, my name is Rachel! I had soup for dinner, and when I took a bite it burned my tongue.
 
Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Sydney! I was riding my bike, and then I fell and broke my arm.

Do you think that hurt me?""",“How much do you think it hurt me?”​​​​​​​,"""Hi, my name is David! I was eating lunch with my friend, and then my stomach started to ache.



Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Kyle! I was choosing paper to draw on, and then I got a paper-cut on my finger.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Marissa! I was running on the sidewalk, and then I fell and skinned my knees.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"“Hi, my name is Jessica! I was playing catch with my friend, but then the ball hit me in the leg and bruised me.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"“Hi, my name is Chris! When I climbed over a fence outside, I got a splinter.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Tyler! I was at the park when a bee landed on my arm, and it stung me.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Adam! I drew a picture and then put it on the table.



Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Anthony! Last night I got into my bed and I fell asleep.


Do you think that hurt me?""",“How much do you think it hurt me?”,"“Hi, my name is Courtney! I threw a ball and it landed in the grass.



Do you think that hurt me?""",“How much do you think it hurt me?”,"“Hi, my name is Mia! I took a book off of the shelf and I read it.

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi my name is Rachel! I was choosing paper to draw on, and then I got a paper-cut on my finger.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"“Hi, my name is Sydney! I was playing outside and when I climbed over a fence, I got a splinter.
 

Do you think that hurt me?""",“How much do you think it hurt me?”,"“Hi, my name is David! I was playing catch with my friend, but then the ball hit me in the leg and bruised me.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Kyle! I had soup for dinner, and when I took a bite it burned my tongue.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Marissa! I was eating lunch with my friend, and then my stomach started to ache.



Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Jessica! I was at the park when a bee landed on my arm, and it stung me.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Chris! I was riding my bike, and then I fell and broke my arm.



Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Tyler! I was running on the sidewalk, and then I fell and skinned my knees.""

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Rachel! I was running on the sidewalk, and then I fell and skinned my knees.""

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"“Hi, my name is Sydney! I was playing catch with my friend, but then the ball hit me in the leg and bruised me.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is David! I was at the park when a bee landed on my arm, and it stung me.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"“Hi, my name is Kyle! When I climbed over a fence outside, I got a splinter.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Marissa! I was choosing paper to draw on, and then I got a paper-cut on my finger.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Jessica! I was riding my bike, and then I fell and broke my arm.



Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Chris! I had soup for dinner, and when I took a bite it burned my tongue.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Tyler! I was eating lunch with my friend, and then my stomach started to ache.



Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Rachel! I was at the park when a bee landed on my arm, and it stung me.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Sydney! I was eating lunch with my friend, and then my stomach started to ache.



Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is David! I was riding my bike, and then I fell and broke my arm.



Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Kyle! I was running on the sidewalk, and then I fell and skinned my knees.""

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"“Hi, my name is Marissa! When I climbed over a fence outside, I got a splinter.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Jessica! I had soup for dinner, and when I took a bite it burned my tongue.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"“Hi, my name is Chris! I was playing catch with my friend, but then the ball hit me in the leg and bruised me.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Tyler! I was choosing paper to draw on, and then I got a paper-cut on my finger.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Rachel! I was eating lunch with my friend, and then my stomach started to ache.



Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Sydney! I had soup for dinner, and when I took a bite it burned my tongue.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"“Hi, my name is David! When I climbed over a fence outside, I got a splinter.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Kyle! I was at the park when a bee landed on my arm, and it stung me.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"“Hi, my name is Marissa! I was playing catch with my friend, but then the ball hit me in the leg and bruised me.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Jessica! I was running on the sidewalk, and then I fell and skinned my knees.""

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Chris! I was choosing paper to draw on, and then I got a paper-cut on my finger.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Tyler! I was riding my bike, and then I fell and broke my arm.



Do you think that hurt me?""",“How much do you think it hurt me?”,"“Hi, my name is Rachel! I was playing catch with my friend, but then the ball hit me in the leg and bruised me.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Sydney! I was running on the sidewalk, and then I fell and skinned my knees.""

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is David! I had soup for dinner, and when I took a bite it burned my tongue.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Kyle! I was eating lunch with my friend, and then my stomach started to ache.



Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Marissa! I was riding my bike, and then I fell and broke my arm.



Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Jessica! I was choosing paper to draw on, and then I got a paper-cut on my finger.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Chris! I was at the park when a bee landed on my arm, and it stung me.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"“Hi, my name is Tyler! When I climbed over a fence outside, I got a splinter.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Rachel! I was riding my bike, and then I fell and broke my arm.



Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Sydney! I was choosing paper to draw on, and then I got a paper-cut on my finger.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is David! I was running on the sidewalk, and then I fell and skinned my knees.""

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"“Hi, my name is Kyle! I was playing catch with my friend, but then the ball hit me in the leg and bruised me.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Marissa! I was at the park when a bee landed on my arm, and it stung me.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"“Hi, my name is Jessica! When I climbed over a fence outside, I got a splinter.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Chris! I was eating lunch with my friend, and then my stomach started to ache.



Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Tyler! I had soup for dinner, and when I took a bite it burned my tongue.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"“Hi, my name is Rachel! When I climbed over a fence outside, I got a splinter.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Sydney! I was at the park when a bee landed on my arm, and it stung me.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is David! I was choosing paper to draw on, and then I got a paper-cut on my finger.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Kyle! I was riding my bike, and then I fell and broke my arm.



Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Marissa! I had soup for dinner, and when I took a bite it burned my tongue.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Jessica! I was eating lunch with my friend, and then my stomach started to ache.



Do you think that hurt me?""",“How much do you think it hurt me?”,"""Hi, my name is Chris! I was running on the sidewalk, and then I fell and skinned my knees. 

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"“Hi, my name is Tyler! I was playing catch with my friend, but then the ball hit me in the leg and bruised me.

 

Do you think that hurt me?""",“How much do you think it hurt me?”,"should this be excluded? (e.g., did they never respond? never choose a rating? ask to end early?) - Selected Choice","should this be excluded? (e.g., did they never respond? never choose a rating? ask to end early?) - yes - Text","should this be excluded? (e.g., did they never respond? never choose a rating? ask to end early?) - unsure - Text",which of these have you experienced?,1,2,3,4,5,6,7,8,mturkcode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID375""}","{""ImportId"":""QID376""}","{""ImportId"":""QID380_TEXT""}","{""ImportId"":""QID384""}","{""ImportId"":""QID385""}","{""ImportId"":""QID386""}","{""ImportId"":""QID367""}","{""ImportId"":""QID369_1""}","{""ImportId"":""QID373""}","{""ImportId"":""QID374_1""}","{""ImportId"":""QID370""}","{""ImportId"":""QID371_1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID167_1""}","{""ImportId"":""QID5""}","{""ImportId"":""QID168_1""}","{""ImportId"":""QID7""}","{""ImportId"":""QID169_1""}","{""ImportId"":""QID9""}","{""ImportId"":""QID170_1""}","{""ImportId"":""QID11""}","{""ImportId"":""QID171_1""}","{""ImportId"":""QID13""}","{""ImportId"":""QID172_1""}","{""ImportId"":""QID15""}","{""ImportId"":""QID173_1""}","{""ImportId"":""QID17""}","{""ImportId"":""QID174_1""}","{""ImportId"":""QID19""}","{""ImportId"":""QID175_1""}","{""ImportId"":""QID21""}","{""ImportId"":""QID176_1""}","{""ImportId"":""QID23""}","{""ImportId"":""QID177_1""}","{""ImportId"":""QID25""}","{""ImportId"":""QID178_1""}","{""ImportId"":""QID27""}","{""ImportId"":""QID179_1""}","{""ImportId"":""QID29""}","{""ImportId"":""QID180_1""}","{""ImportId"":""QID31""}","{""ImportId"":""QID181_1""}","{""ImportId"":""QID33""}","{""ImportId"":""QID182_1""}","{""ImportId"":""QID35""}","{""ImportId"":""QID183_1""}","{""ImportId"":""QID37""}","{""ImportId"":""QID184_1""}","{""ImportId"":""QID39""}","{""ImportId"":""QID185_1""}","{""ImportId"":""QID41""}","{""ImportId"":""QID186_1""}","{""ImportId"":""QID43""}","{""ImportId"":""QID187_4""}","{""ImportId"":""QID46""}","{""ImportId"":""QID188_1""}","{""ImportId"":""QID56""}","{""ImportId"":""QID189_1""}","{""ImportId"":""QID58""}","{""ImportId"":""QID190_1""}","{""ImportId"":""QID64""}","{""ImportId"":""QID191_1""}","{""ImportId"":""QID65""}","{""ImportId"":""QID192_1""}","{""ImportId"":""QID66""}","{""ImportId"":""QID193_1""}","{""ImportId"":""QID67""}","{""ImportId"":""QID194_1""}","{""ImportId"":""QID68""}","{""ImportId"":""QID195_1""}","{""ImportId"":""QID71""}","{""ImportId"":""QID196_1""}","{""ImportId"":""QID72""}","{""ImportId"":""QID197_1""}","{""ImportId"":""QID74""}","{""ImportId"":""QID198_1""}","{""ImportId"":""QID76""}","{""ImportId"":""QID199_1""}","{""ImportId"":""QID79""}","{""ImportId"":""QID200_1""}","{""ImportId"":""QID80""}","{""ImportId"":""QID201_1""}","{""ImportId"":""QID82""}","{""ImportId"":""QID202_1""}","{""ImportId"":""QID84""}","{""ImportId"":""QID203_1""}","{""ImportId"":""QID86""}","{""ImportId"":""QID204_1""}","{""ImportId"":""QID88""}","{""ImportId"":""QID205_1""}","{""ImportId"":""QID90""}","{""ImportId"":""QID206_1""}","{""ImportId"":""QID92""}","{""ImportId"":""QID207_1""}","{""ImportId"":""QID94""}","{""ImportId"":""QID208_1""}","{""ImportId"":""QID96""}","{""ImportId"":""QID209_1""}","{""ImportId"":""QID98""}","{""ImportId"":""QID210_1""}","{""ImportId"":""QID100""}","{""ImportId"":""QID211_1""}","{""ImportId"":""QID102""}","{""ImportId"":""QID212_1""}","{""ImportId"":""QID104""}","{""ImportId"":""QID213_1""}","{""ImportId"":""QID106""}","{""ImportId"":""QID214_1""}","{""ImportId"":""QID108""}","{""ImportId"":""QID215_1""}","{""ImportId"":""QID110""}","{""ImportId"":""QID216_1""}","{""ImportId"":""QID112""}","{""ImportId"":""QID217_1""}","{""ImportId"":""QID114""}","{""ImportId"":""QID218_1""}","{""ImportId"":""QID116""}","{""ImportId"":""QID219_1""}","{""ImportId"":""QID118""}","{""ImportId"":""QID220_1""}","{""ImportId"":""QID120""}","{""ImportId"":""QID221_1""}","{""ImportId"":""QID122""}","{""ImportId"":""QID222_1""}","{""ImportId"":""QID124""}","{""ImportId"":""QID223_1""}","{""ImportId"":""QID126""}","{""ImportId"":""QID224_1""}","{""ImportId"":""QID128""}","{""ImportId"":""QID225_1""}","{""ImportId"":""QID130""}","{""ImportId"":""QID226_1""}","{""ImportId"":""QID132""}","{""ImportId"":""QID227_1""}","{""ImportId"":""QID134""}","{""ImportId"":""QID228_1""}","{""ImportId"":""QID136""}","{""ImportId"":""QID229_1""}","{""ImportId"":""QID138""}","{""ImportId"":""QID230_1""}","{""ImportId"":""QID140""}","{""ImportId"":""QID231_1""}","{""ImportId"":""QID142""}","{""ImportId"":""QID232_1""}","{""ImportId"":""QID144""}","{""ImportId"":""QID233_1""}","{""ImportId"":""QID146""}","{""ImportId"":""QID234_1""}","{""ImportId"":""QID383""}","{""ImportId"":""QID383_2_TEXT""}","{""ImportId"":""QID383_3_TEXT""}","{""ImportId"":""QID381""}","{""ImportId"":""1""}","{""ImportId"":""2""}","{""ImportId"":""3""}","{""ImportId"":""4""}","{""ImportId"":""5""}","{""ImportId"":""6""}","{""ImportId"":""7""}","{""ImportId"":""8""}","{""ImportId"":""mturkcode""}"
2022-04-06 14:32:46,2022-04-06 14:39:08,IP Address,128.62.41.251,100,381,True,2022-04-06 14:39:08,R_1mRgH4KBUBUAOQn,,,,,30.28869999999999862438926356844604015350341796875,-97.73980000000000245563569478690624237060546875,anonymous,EN,yes,1,4.1.4,Female,,,yes,5,no,,yes,7,yes,2,yes,6,no,,no,,yes,3,no,,yes,5,yes,2,no,,no,,no,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deprecated - Please Use: https://www.qualtrics.com/support/survey-platform/survey-module/survey-flow/advanced-elements/web-service/#WebServiceRandomNumbGen
2022-04-06 14:41:29,2022-04-06 15:03:26,IP Address,128.62.41.251,100,1316,True,2022-04-06 15:03:26,R_2t4450Mim0HRzH3,,,,,30.28869999999999862438926356844604015350341796875,-97.73980000000000245563569478690624237060546875,anonymous,EN,yes,2,4.2.1,Male,,,yes,5,no,,yes,2,,,,,,,,,,,,,,,,,no,,no,,no,,no,,yes,2,yes,6,yes,3,yes,4,no,,no,,yes,7,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deprecated - Please Use: https://www.qualtrics.com/support/survey-platform/survey-module/survey-flow/advanced-elements/web-service/#WebServiceRandomNumbGen
2022-04-06 15:04:59,2022-04-06 15:13:50,IP Address,128.62.41.251,100,531,True,2022-04-06 15:13:51,R_3ekx6J5E7O4la5g,,,,,30.28869999999999862438926356844604015350341796875,-97.73980000000000245563569478690624237060546875,anonymous,EN,yes,3,4.3.1 [exclude],Male,,,yes,5,no,,no,,,,,,,,,,,,,,,,,,yes,7,no,,no,,no,,,,,,,,,,,,,,,,,,yes,7,yes,1,yes,4,yes,7,yes,4,yes,7,yes,2,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deprecated - Please Use: https://www.qualtrics.com/support/survey-platform/survey-module/survey-flow/advanced-elements/web-service/#WebServiceRandomNumbGen
2022-04-07 09:31:46,2022-04-07 09:41:51,IP Address,128.62.46.29,100,605,True,2022-04-07 09:41:52,R_1hVZ8tFWXmIpuVu,,,,,30.28869999999999862438926356844604015350341796875,-97.73980000000000245563569478690624237060546875,anonymous,EN,yes,4,4.4.1,Female,,,yes,5,no,,yes,4,,,,,,,,,,,,,,,,,no,,no,,no,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,3,yes,1,yes,5,yes,2,yes,1,yes,1,yes,1,yes,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"splinter,bruised leg",,,,,,,,,Deprecated - Please Use: https://www.qualtrics.com/support/survey-platform/survey-module/survey-flow/advanced-elements/web-service/#WebServiceRandomNumbGen
2022-04-07 09:49:03,2022-04-07 09:54:39,IP Address,128.62.46.29,100,336,True,2022-04-07 09:54:40,R_2rVkxOdP0qLUXF2,,,,,30.28869999999999862438926356844604015350341796875,-97.73980000000000245563569478690624237060546875,anonymous,EN,yes,5,4.5.1 [excluded],Female,,,yes,5,no,,yes,7,,,,,,,,,,,,,,,,,no,,no,,yes,3,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,4,yes,7,yes,7,yes,7,yes,4,yes,7,yes,7,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bruised leg,,,,,,,,,Deprecated - Please Use: https://www.qualtrics.com/support/survey-platform/survey-module/survey-flow/advanced-elements/web-service/#WebServiceRandomNumbGen
2022-04-07 09:58:06,2022-04-07 10:03:46,IP Address,128.62.46.29,100,339,True,2022-04-07 10:03:46,R_2PjlBUSIt3YWa0P,,,,,30.28869999999999862438926356844604015350341796875,-97.73980000000000245563569478690624237060546875,anonymous,EN,yes,6,4.6.1,Female,,,yes,5,no,,yes,7,,,,,,,,,,,,,,,,,no,,no,,no,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,5,yes,1,yes,2,yes,7,yes,7,yes,7,yes,4,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"skinned knees,bruised leg",,,,,,,,,Deprecated - Please Use: https://www.qualtrics.com/support/survey-platform/survey-module/survey-flow/advanced-elements/web-service/#WebServiceRandomNumbGen
2022-04-06 15:15:08,2022-04-13 12:18:27,IP Address,128.62.47.255,100,594198,True,2022-04-13 12:18:27,R_5nJl8YrmWVjS3Yd,,,,,30.2887,-97.7398,anonymous,EN,yes,7,5.7.1,Female,,,yes,5,no,,yes,4,,,,,,,,,,,,,,,,,no,,no,,no,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,5,yes,2,yes,3,yes,3,yes,4,yes,2,yes,3,yes,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deprecated - Please Use: https://www.qualtrics.com/support/survey-platform/survey-module/survey-flow/advanced-elements/web-service/#WebServiceRandomNumbGen
2022-04-13 12:21:23,2022-04-13 12:42:59,IP Address,128.62.47.255,100,1295,True,2022-04-13 12:42:59,R_1kGDeB45pxtJZEI,,,,,30.2887,-97.7398,anonymous,EN,yes,8,4.8.1 [excluded],Female,,,yes,5,no,,yes,1,,,,,,,,,,,,,,,,,no,,no,,no,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,yes,1,no,,no,,no,,no,,no,,no,,,,,stomach ache,,,,,,,,,Deprecated - Please Use: https://www.qualtrics.com/support/survey-platform/survey-module/survey-flow/advanced-elements/web-service/#WebServiceRandomNumbGen
