subject_ID,cp_age,cp_sex,cp_race,cp_inj_experienced,condition,rating,injury,character,race,age,sex
4.1.1,4,F,,,1,2,soup,rachel,w,a,f
4.1.1,4,F,,,1,6,broken arm,sydney,w,c,f
4.1.1,4,F,,,1,0,stomach ache,david,w,a,m
4.1.1,4,F,,,1,0,paper cut,kyle,w,c,m
4.1.1,4,F,,,1,3,skinned knees,marissa,b,a,f
4.1.1,4,F,,,1,0,bruised leg,jessica,b,c,f
4.1.1,4,F,,,1,5,splinter,chris,b,a,m
4.1.1,4,F,,,1,2,bee sting,tyler,b,c,m
4.1.1,4,F,,,1,0,control_draw,ctrl_adam,ctrl_w,ctrl_a,ctrl_m
4.1.1,4,F,,,1,0,control_sleep,ctrl_anthony,ctrl_b,ctrl_c,ctrl_m
4.1.1,4,F,,,1,0,control_grass,ctrl_courtney,ctrl_w,ctrl_c,ctrl_f
4.1.1,4,F,,,1,0,control_book,ctrl_mia,ctrl_b,ctrl_a,ctrl_f
4.2.1,4,M,,,2,2,paper cut,rachel,w,a,f
4.2.1,4,M,,,2,6,splinter,sydney,w,c,f
4.2.1,4,M,,,2,3,bruised leg,david,w,a,m
4.2.1,4,M,,,2,4,soup,kyle,w,c,m
4.2.1,4,M,,,2,0,stomach ache,marissa,b,a,f
4.2.1,4,M,,,2,0,bee sting,jessica,b,c,f
4.2.1,4,M,,,2,7,broken arm,chris,b,a,m
4.2.1,4,M,,,2,7,skinned knees,tyler,b,c,m
4.2.1,4,M,,,2,0,control_draw,ctrl_adam,ctrl_w,ctrl_a,ctrl_m
4.2.1,4,M,,,2,0,control_sleep,ctrl_anthony,ctrl_b,ctrl_c,ctrl_m
4.2.1,4,M,,,2,0,control_grass,ctrl_courtney,ctrl_w,ctrl_c,ctrl_f
4.2.1,4,M,,,2,0,control_book,ctrl_mia,ctrl_b,ctrl_a,ctrl_f
4.3.1,4,M,,,3,7,skinned knees,rachel,w,a,f
4.3.1,4,M,,,3,1,bruised leg,sydney,w,c,f
4.3.1,4,M,,,3,4,bee sting,david,w,a,m
4.3.1,4,M,,,3,7,splinter,kyle,w,c,m
4.3.1,4,M,,,3,4,paper cut,marissa,b,a,f
4.3.1,4,M,,,3,7,broken arm,jessica,b,c,f
4.3.1,4,M,,,3,2,soup,chris,b,a,m
4.3.1,4,M,,,3,7,stomach ache,tyler,b,c,m
4.3.1,4,M,,,3,7,control_draw,ctrl_adam,ctrl_w,ctrl_a,ctrl_m
4.3.1,4,M,,,3,0,control_sleep,ctrl_anthony,ctrl_b,ctrl_c,ctrl_m
4.3.1,4,M,,,3,0,control_grass,ctrl_courtney,ctrl_w,ctrl_c,ctrl_f
4.3.1,4,M,,,3,0,control_book,ctrl_mia,ctrl_b,ctrl_a,ctrl_f
4.4.1,4,,,,4,3,bee sting,rachel,w,a,f
4.4.1,4,,,,4,1,stomach ache,sydney,w,c,f
4.4.1,4,,,,4,5,broken arm,david,w,a,m
4.4.1,4,,,,4,2,skinned knees,kyle,w,c,m
4.4.1,4,,,,4,1,splinter,marissa,b,a,f
4.4.1,4,,,,4,1,soup,jessica,b,c,f
4.4.1,4,,,,4,1,bruised leg,chris,b,a,m
4.4.1,4,,,,4,5,paper cut,tyler,b,c,m
4.4.1,4,,,,4,0,control_draw,ctrl_adam,ctrl_w,ctrl_a,ctrl_m
4.4.1,4,,,,4,0,control_sleep,ctrl_anthony,ctrl_b,ctrl_c,ctrl_m
4.4.1,4,,,,4,0,control_grass,ctrl_courtney,ctrl_w,ctrl_c,ctrl_f
4.4.1,4,,,,4,0,control_book,ctrl_mia,ctrl_b,ctrl_a,ctrl_f
4.5.1,4,,,,5,4,stomach ache,rachel,w,a,f
4.5.1,4,,,,5,7,soup,sydney,w,c,f
4.5.1,4,,,,5,7,splinter,david,w,a,m
4.5.1,4,,,,5,7,bee sting,kyle,w,c,m
4.5.1,4,,,,5,4,bruised leg,marissa,b,a,f
4.5.1,4,,,,5,7,skinned knees,jessica,b,c,f
4.5.1,4,,,,5,7,paper cut,chris,b,a,m
4.5.1,4,,,,5,7,broken arm,tyler,b,c,m
4.5.1,4,,,,5,0,control_draw,ctrl_adam,ctrl_w,ctrl_a,ctrl_m
